seed,n,d,k,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,5000,10,8,4096,6.0,0.21040690000154427,4224.0,16976.186057845778,0.6414625356849329,0.7662906890623457,0.7662906890623457,48,48,1,5000,95.47779999957129
77,5000,10,8,4096,6.0,0.10030059999917285,4224.0,16483.28487125459,0.6321638320702908,0.7632396956290249,0.7632396956290249,48,48,1,5000,40.23034999954689
211,5000,10,8,4096,6.0,0.0993793999987247,4224.0,16992.66922381932,0.628052654331602,0.758579451651016,0.758579451651016,48,48,1,5000,40.72009999799775
42,10000,10,8,4096,6.0,0.18792519999988144,8448.0,33381.55826985782,0.63581892206279,0.7623950777698183,0.7623950777698183,96,48,2,10000,54.85553333225349
77,10000,10,8,4096,6.0,0.14787129999967874,8448.0,33507.463572185516,0.6292409784266821,0.7591324681772943,0.7591324681772943,96,48,2,10000,41.97686666642161
211,10000,10,8,4096,6.0,0.17016050000165706,8448.0,36296.26765418887,0.6043218258869892,0.765226416812751,0.765226416812751,96,48,2,10000,48.82153333286018
42,25000,10,8,4096,6.0,0.5165321999993466,12672.0,84520.65811199111,0.628989833190956,0.7593058326690302,0.7593058326690302,144,48,3,25000,67.91579999896514
77,25000,10,8,4096,6.0,0.4333874999974796,12672.0,85182.75821551315,0.6243176386896551,0.7561769850696701,0.7561769850696701,144,48,3,25000,57.894957142187714
211,25000,10,8,4096,6.0,0.42237740000200574,12672.0,84163.43197583234,0.6347000715298748,0.7626082387624172,0.7626082387624172,144,48,3,25000,56.32284285716845
42,50000,10,8,4096,6.0,0.7762151999995694,12672.0,168671.11560136965,0.6077204278912538,0.748269274953134,0.748269274953134,144,48,3,50000,56.765192308096
77,50000,10,8,4096,6.0,0.9189021999991382,12672.0,169578.22789347262,0.638492242019307,0.7628916806041843,0.7628916806041843,144,48,3,50000,67.0812076918642
211,50000,10,8,4096,6.0,1.0001313000029768,12672.0,168686.2726076834,0.6303183091261959,0.7587643420689766,0.7587643420689766,144,48,3,50000,73.75668461575586
42,100000,10,8,4096,6.0,1.9253811999988102,12672.0,333534.71301607124,0.6242904342329748,0.7553179886477871,0.7553179886477871,144,48,3,100000,73.07244799929322
77,100000,10,8,4096,6.0,2.0358741999989434,12672.0,333488.0645301505,0.6236925623949288,0.7553432381710431,0.7553432381710431,144,48,3,100000,77.44308800014551
211,100000,10,8,4096,6.0,2.0512715999975626,12672.0,357898.97175443947,0.6184318413915902,0.7584622588798348,0.7584622588798348,144,48,3,100000,78.02736800018465
